Prediction,Label,Text
0,0,time warner cable phone reps r dumber than nails ugh cable was working 10 mins ago now its not wtf
0,0,we tried but time warner wasnt being nice so we recorded today
0,0,omg time warner fed up my internet install instead of today its now next saturday another week wo internet ehfav9fhg fml
0,0,wthi have never seen a line this loooong at time warner before ugh
0,0,impatiently awaiting the arrival of the time warner guy its way too pretty to be inside all afternoon
0,0,naive bayes using em for text classification really frustrating
1,1,we went to stanford university today got a tour made me want to go back to college its also decided all of our kids will go there
0,0,if youre being harassed by calls about your car warranty changing your number wont fix that they call every number bags
0,0,just blocked united blood services using google voice they call more than those car warranty guys
0,0,t is complete fail
0,0,oh snap you work at att dont you
0,0,i really dont want att phone servicethey suck when it comes to having a signal
0,0,i say we just cut out the small talk atts new slogan f__k you give us your money apologies to bob geldof
0,0,pissed about atts midcontract upgrade price for the iphone its 200 more im not going to pay 499 for something i thought was 299
1,0,safari 4 is fast even on my shitty att tethering
0,0,what is att fucking up
0,0,att dropped the ball and isnt supporting crap with the new iphone 30 fail sucks
0,0,yay glad you got the phone still damn you att
0,0,talk is cheap bing that ill stick with google
0,0,wtf is the point of deleting tweets if they can still be found in summize and searches twitter please fix that thanks and bye
1,1,i love google translator too d good day mate
1,1,reading on my new kindle2
1,1,my kindle2 came and i love it
1,1,loving my new kindle2 named her kendra in case u were wondering the cookbook is the tool cuz it tells u all the tricks best gift evr
0,0,the real aig scandal
1,1,obama is quite a good comedian check out his dinner speech on cnn very funny jokes
1,1,barack obama shows his funny side great speech
1,1,i like this guy barack obama shows his funny side
1,1,obamas speech was pretty awesome last night
0,1,reading bill clinton fail obama win
1,1,obama more popular than us among arabs survey president barack obamas popularity in leading arab countries
1,1,obamas got jokes haha just got to watch a bit of his after dinner speech from last night im in love with mr president
0,0,lebron james got in a car accident i guessjust heard it on evening newswow i cant believe itwill he be ok
1,1,is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals
1,1,no lebron is the best
1,1,lebron is cool i like his personalityhe has good character
1,1,watching lebron highlights damn that niggas good
1,1,lebron is murdering shit
1,1,lebron is a monsta and he is only 24 smh the world aint ready
1,1,when lebron is done in the nba he will probably be greater than kobe like u said kobe is good but there alot of good players
1,1,kobe is good bt lebron has my vote
1,0,kobe is the best in the world not lebron
1,1,world cup 2010 access damn thats a good look
1,1,just bought my tickets for the 2010 fifa world cup in south africa its going to be a great summer
1,0,i have to go to booz allen hamilton for a 2hr meeting but then i get to go home
1,1,the great indian tamasha truly will unfold from may 16 the result day for indian general election
1,1,i have the kindle2 ive seen pictures of the dx but havent seen it in person i love my kindle im on it everyday
1,1,such an awesome idea the continual learning program with a kindle2
1,1,ooooh what model are you getting i have the 40d and love love love love it
1,1,the times of india the wonder that is indias election
1,1,good video from google on using search options
0,0,lol ah my skin is itchy damn lawnmowing
0,0,itchy back dont ya hate it
1,1,stanford charity fashion show a top draw
1,1,stanford universitys facebook profile is one of the most popular official university pages
1,1,lyx is cool
0,1,sooo dissapointed they sent danny gokey home you still rock danny my hometown hero yeah milrockee
1,1,rt american idol fashion adam lambert tones down danny gokey cute
1,1,i love you danny gokey
0,0,so tired i didnt sleep well at all last night
0,0,boarding plane for san francisco in 1 hour 6 hr flight blech
0,0,bonjour san francisco my back hurts from last night
1,1,with my best girl for a few more hours in san francisco mmmmmfamily is wonderful
0,0,f up big or go home aig
1,1,went to see the star trek movie last night very satisfying
1,1,i cant wait going to see star trek tonight
1,1,star trek was as good as everyone said
1,1,am loving new malcolm gladwell book outliers
1,1,i highly recommend malcolm gladwells the tipping point my next audiobook will probably be one of his as well
0,0,malcolm gladwell is a genius at tricking people into not realizing hes a fucking idiot
0,0,hey no offense but malcolm gladwell is a pretenious annoying cunt and he brings you down cant read his shit
1,1,rt great article by malcolm gladwell
1,1,i seriously underestimated malcolm gladwell i want to meet this dude
0,0,i hate comcast right now everything is down cable internet phoneughh what am i to do
0,0,comcast sucks
0,0,the day i never have to deal with comcast again will rank as one of the best days of my life
0,0,did comcast fail again
0,0,curses the twitter api limit
0,0,now i can see why dave winer screams about lack of twitter api its limitations and access throttles
0,0,arg twitter api is making me crazy
1,1,im really loving the new search site wolframalpha makes google seem so quaint
0,0,alpha sucks even for researchers the information provided is less than you can get from or totally useless
1,1,off to the nike factory
1,1,new nike muppet commercials are pretty cute why do we live together again
1,0,oh those are awesome i so wish they werent owned by nike
1,1,awesome seeing the show friday at the shoreline amphitheatre never seen nin before cant wait
0,0,arhh its weka bug and i spent almost two hours to find that out crappy me
1,1,hey bud np i do so love my 50d although id love a 5d mkii more
1,1,just got us a 50d for the office d
1,1,just picked up my new canon 50dits beautiful prepare for some seriously awesome photography
1,1,just got my new toy canon 50d love love love it
0,1,learning about lambda calculus
0,1,im moving to east palo alto
1,1,i just finished watching your stanford iphone class session i really appreciate it you rock
1,1,hi just saw your stanford talk and really liked your advice just saying hi from singapore yes the videos do get around
1,1,lakers tonight lets go
1,1,will the lakers kick the nuggets ass tonight
0,0,oooooooh north korea is in troubleeeee
0,0,wat the heck is north korea doing they just conducted powerful nuclear tests follow the link
0,0,listening to obama friggin north korea
0,0,i just realized we three monkeys in the white obamabidenpelosi sarah palin 2012
0,0,pelosi should stay in china and never come back
0,0,nancy pelosi gave the worst commencement speech ive ever heard yes im still bitter about this
0,0,ugh the amount of times these stupid insects have bitten me grr
1,1,prettiest insects ever pink katydids
0,0,just got barraged by a horde of insects hungry for my kitchen light so scary
1,1,just had mcdonalds for dinner d it was goooood big mac meal
1,1,ahh yes lol ima tell my hubby to go get me sum mcdonalds
1,1,stopped to have lunch at mcdonalds chicken nuggetssss yummmmmy
1,1,could go for a lot of mcdonalds i mean a lot
1,1,my exam went good your prayers worked
1,1,only one exam left and i am so happy for it d
0,0,math review im going to fail the exam
1,0,colin powell rocked yesterday on cbs cheney needs to shut the hell up and go homepowell is a man of honor and served our country proudly
0,0,obviously not siding with cheney here
1,1,absolutely hilarious from
1,1,i never did thank you for including me in your top 100 twitter authors you rock i new wave d
1,1,rt awesome jquery reference book for coda
1,1,ive been sending emails like crazy today to my contactsdoes anyone have a contact at goodby silversteinid love to speak to them
1,1,goodby silversteins new site i enjoy it
1,1,wow everyone at the google io conference got free g2s with a month of unlimited service
1,1,dood i got a free google android phone at the io conference the g2
1,1,the g2 is amazing btw a huge improvement over the g1
1,1,html 5 demos lots of great stuff to come yes im excited
1,1,yay happy place place place i love google
1,1,o3d bringing 3d graphics to the browser very nice tbh funfun
1,1,awesome viral marketing for funny people
0,0,saw night at the museum out of sheer desperation who is funding these movies
1,1,night at the museum 2 pretty furkin good
1,1,watching night at the museum giggling
1,0,back from seeing star trek and night at the museum star trek was amazing but night at the museum was eh
1,1,just watched night at the museum 2 so stinkin cute
1,1,so night at the museum 2 was awesome much better than part 1 next weekend well see up
1,1,saw the new night at the museum and i loved it next is to go see up in 3d
0,0,it is a shame about gm what if they are forced to make only cars the white house thinks will sell what do you think
0,0,as u may have noticed not too happy about the gm situation nor aig lehman et al
1,0,gm good riddance sad though
0,0,i will never buy a government motors vehicle until just recently i drove gm cars since 1988 when i bought a
0,0,having the old cocacola guy on the gm board is stupid has heck
0,0,the worst thing about gm concord pleasant hill martinez is the fucking uaw
0,0,give a man a fish u feed him for the day teach him to fish u feed him for life buy him gm and u fk him over for good
0,0,the more i hear about this gm thing the more angry i get billions wasted more bullshit all for something like 40k employees and all the
0,0,i own a gm car and it is junk as far as quality compared to a honda
0,0,sad daybankrupt gm
0,0,is upset about the whole gm thing life as i know it is so screwed up
0,0,whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs
0,0,joining a bit late my connection was down boo time warner
1,0,cox or time warner cox is cheaper and gets a b on dslreports tw is more expensive and gets a c
0,0,i am furious with time warner and their phone promotions
1,0,just got home from chickfila with the boys damn my internets down stupid time warner
0,0,could timewarner cable suck more no
0,0,pissed at time warner for causin me to have slow internet problems
0,0,ummm having some time warner problems
0,0,you guys see this why does time warner have to suck so much ass really wish i could get uverse at my apartment
0,0,rt the upside to time warner unhelpful phone operators superslow onsite service crap thats not an upside
0,0,rt new time warner slogan time warner where we make you long for the days before cable
0,0,confirmed its time warners fault not facebooks that fb is taking about 3 minutes to load so tempted to switch to verizon
0,0,time warner epic fail
0,0,i know how sad is that rt 1st day of hurricane season thats less scarey than govt taking over gm
0,0,gm files bankruptcy not a good sign
1,1,yankees won mets lost its a good day
1,1,my dentist appt today was actually quite enjoyable
0,0,i hate the effing dentist
0,0,i hate going to the dentist
0,0,i hate the dentistwho invented them anyways
0,0,this dentists office is cold
1,1,just applied at safeway yeeeee
0,0,place is a nightmare right now bumming
0,0,hate safeway select green tea icecream bought two cartons what a waste of money _
1,1,nike rocks im super grateful for what ive done with them the european division of nike is beyond
1,1,have you tried nike v addictive
1,1,the nike training club beta iphone app looks very interesting
0,0,argghhhh why wont my jquery appear in safari bad safari
1,1,im ready to drop the pretenses i am forever in love with jquery and i want to marry it sorry ladies this nerd is jqueryspokenforjs
1,1,super investors a great weekend read here from warren buffet oldie but a goodie
1,1,reading michael palin book the python yearsgreat book i also recommend warren buffet nelson mandelas bio
1,1,i mean im down with notre dame if i have to its a good school id be closer to dan id enjoy it
0,0,i cant watch tv without a tivo and after all these years the timewarner dvr still sucks
0,1,id say some sports writers are idiots for saying roger federer is one of the best ever in tennis roger federer is the best ever in tennis
1,0,i still love my kindle2 but reading the new york times on it does not feel natural i miss the bloomingdale ads
1,1,i love my kindle2 no more stacks of books to trip over on the way to the loo
0,0,although todays keynote rocked for every great announcement att shit on us just a little bit more
0,0,its not so much my obsession with cell phones but the iphone im a slave to att forever because of it
1,0,fuzzball is more fun than att p
0,0,today is a good day to dislike att vote out of office indeed
1,1,got my wave sandbox invite extra excited too bad i have class now but ill play with it soon enough
0,0,looks like summize has gone down too many tweets from wwdc perhaps
1,1,thanks so much from one of your very happy kindle2 winners i was so surprised fabulous thank you best kathleen
0,0,man i kinda dislike apple right now case in point the iphone 3gs wish there was a video recorder app please
1,1,i have a kindle2 sony prs500 like it physical device feels good font is nice pg turns are snappy enuf ui a little klunky
1,1,the seems the best ereader but will it work in the uk and where can i get one
1,1,i have a google addiction thank you for pointing that out hahaha
0,0,dearest you rich bastards the visa card you sent me doesnt work why screw a little guy like me
1,1,excited about seeing bobby flay and guy fieri tomorrow at the great american food music fest
1,1,gonna go see bobby flay 2moro at shoreline eat and drink gonna be good
1,1,cant wait for the great american food and music festival at shoreline tomorrow mmmkatz pastrami and bobby flay yes please
1,1,my dad was in ny for a day we ate at mesa grill last night and met bobby flay so much fun except i completely lost my voice today
0,0,fighting with latex again
1,0,we love you too and dont want you to die latex the devil
0,0,7 hours 7 hours of inkscape crashing normally solid as a rock 7 hours of latex complaining at the slightest thing i cant take any more
0,0,shits hitting the fan in irancraziness indeed
1,0,monday already iran may implode kitchen is a disaster seems happy had a nice weekend and is great whoop
1,1,getting ready to test out some burger receipes this weekend bobby flay has some great receipes to try thanks bobby
1,1,i lam so in love with bobby flay he is my favorite rt you need a place in phoenix we have great peppers here
0,0,i just created my first latex file from scratch that didnt work out very well see its a great time waster
1,1,using linux and loving it so much nicer than windows looking forward to using the wysiwyg latex editor
0,1,after using latex a lot any other typeset mathematics just looks hideous
0,0,on that note i hate word i hate pages i hate latex there i said it i hate latex all you texn3rds can come kill me now
1,1,ahhh back in a real text editing environment i 3 latex
0,0,trouble in iran i see hmm iran iran so far away
0,0,reading the tweets coming out of iran the whole thing is terrifying and incredibly sad
